,engine_type,year_energymix,vehicles_config_mode,vehicles_initial_placement,vehicle_model_name,n_vehicles,stations_config_mode,distributed_cps,system_cps,profile_type,charging_config_mode,cps_placement_policy,tot_n_charging_poles,n_charging_zones,charging_strategy,charging_relocation_strategy,queuing,n_workers,alpha_policy,beta,battery_swap,avg_reach_time,avg_service_time,relocation,relocation_strategy,relocation_technique,n_relocation_workers,avg_relocation_speed,relocation_capacity,relocation_profitability_check,relocation_vehicle_consumption,diesel_price,unlock_fee,rent_fee,avg_relocation_distance,avg_trip_duration,cps_zones_percentage,city,data_source_id,city_scenario_folder,alpha,n_vehicles_sim,sim_duration,tot_potential_charging_energy,n_same_zone_trips,n_not_same_zone_trips,n_no_close_vehicles,n_deaths,n_booking_reqs,n_bookings,n_unsatisfied,fraction_satisfied,fraction_unsatisfied,fraction_same_zone_trips,fraction_not_same_zone_trips,fraction_no_close_vehicles,fraction_not_enough_energy,fraction_same_zone_trips_satisfied,fraction_not_same_zone_trips_satisfied,fraction_no_close_vehicles_unsatisfied,fraction_deaths_unsatisfied,n_charges,tot_mobility_distance,tot_mobility_duration,cum_relo_ret_t,min_vehicles_relocated,max_vehicles_relocated,avg_relocation_step_distance,tot_vehicles_moved,n_charging_requests_system,n_charges_system,n_charges_users,n_charge_deaths,fraction_charge_deaths,soc_avg,soc_med,charging_time_avg,charging_time_med,n_charges_by_vehicle_avg,n_charges_by_vehicle_system_avg,n_charges_by_vehicle_users_avg,tot_potential_mobility_distance,tot_potential_mobility_duration,tot_potential_welltotank_energy,tot_potential_tanktowheel_energy,tot_potential_mobility_energy,tot_potential_welltotank_co2_emissions,tot_potential_welltowheel_co2_emissions,tot_potential_co2_emissions_kg,tot_welltotank_energy,tot_tanktowheel_energy,tot_mobility_energy,tot_welltotank_co2_emissions,tot_tanktowheel_co2_emissions,tot_co2_emissions_kg,tot_charging_energy,tot_charging_return_distance,fraction_charges_system,fraction_energy_system,fraction_duration_system,fraction_charges_users,fraction_energy_users,fraction_duration_users,charging_duration_avg,charging_energy_event_avg,charging_energy_event_max,charging_energy_event_med,cum_relo_out_t,cum_relo_t,cum_relo_khw,avg_hourly_relo_t,max_driving_distance,percentage_satisfied,percentage_unsatisfied,percentage_same_zone_trips,percentage_not_same_zone_trips,percentage_no_close_vehicles,percentage_not_enough_energy,percentage_same_zone_trips_satisfied,percentage_not_same_zone_trips_satisfied,percentage_no_close_vehicles_unsatisfied,percentage_deaths_unsatisfied,percentage_charge_deaths,percentage_charges_system,percentage_energy_system,percentage_duration_system,percentage_charges_users,percentage_energy_users,percentage_duration_users,cars_cost,charging_infrastructure_cost,scenario_cost,relocation_cost,energy_cost,revenues,washing_cost,sim_cost,profit
0,electric,2020,sim_config,random_greedy,Fiat 500e 2020,20,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,20,5270400.0,2166720.0,1208,3008,25273,0,29489,4216,25273,0.14296856454949303,0.857031435450507,0.04096442741361186,0.10200413713588118,0.857031435450507,0.0,0.286527514231499,0.713472485768501,1.0,0.0,158,25214589.08519696,7258651.595125,12849.92578341662,inf,-inf,NA,0,158,0,0,0,0.0,61.71133366646832,61.84274121267697,5.2311641540675895,5.17420630770506,7.9,7.9,0,174653176.19028413,52182532.62708,6031.829596358478,4754.6147767885495,10786.444373147027,2381.6469381513607,0.0,2381.6469381513607,6031.829596358478,4754.6147767885495,10786.444373147027,2381.6469381513607,0.0,2381.6469381513607,4760.777873333834,133016.57797991426,1.0,0.9999999999999998,1.0,0,0,0,18832.190954643323,30.131505527429326,35.25170375499448,29.803428332381145,0.0,12849.92578341662,25.273908033424703,535.4135743090259,41883.47752455863,14.296856454949303,85.7031435450507,4.0964427413611855,10.200413713588118,85.7031435450507,0.0,28.6527514231499,71.34724857685009,100.0,0.0,0.0,100.0,99.99999999999997,100.0,0,0,0,6666.666666666667,16843.133333333335,23509.800000000003,82.09674806071729,434.8491431271194,31454.156912208335,832.16,1349.1058911878367,6595.251021020495
1,electric,2020,sim_config,random_greedy,Fiat 500e 2020,40,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,40,5270400.0,2166720.0,2454,5314,21721,0,29489,7768,21721,0.26342025840143785,0.7365797415985622,0.0832174709213605,0.18020278748007731,0.7365797415985622,0.0,0.3159114315139032,0.6840885684860968,1.0,0.0,297,46866842.747832686,13566750.610562,26241.260591316495,inf,-inf,NA,0,297,0,0,0,0.0,61.49856572061888,61.10595577431236,5.254483562007087,5.216677385421392,7.425,7.425,0,174653176.19028413,52182532.62708,11220.34327365983,8844.48227148035,20064.825545140182,4430.313518613362,0.0,4430.313518613362,11220.34327365983,8844.482271480352,20064.82554514018,4430.313518613362,0.0,4430.313518613362,8988.950119196765,271637.57554465946,1.0,1.0000000000000002,1.0000000000000002,0,0,0,18916.140823225513,30.265825317160825,36.26653910370344,30.04806174002722,0.0,26241.260591316495,51.61268773411733,1093.3858579715206,41883.47752455863,26.342025840143783,73.65797415985622,8.32174709213605,18.02027874800773,73.65797415985622,0.0,31.591143151390323,68.40885684860967,100.0,0.0,0.0,100.0,100.00000000000003,100.00000000000003,0,0,0,13333.333333333334,16843.133333333335,30176.466666666667,167.65249822229984,808.9016077458072,58789.25264576867,1562.68,2539.234105968107,26073.551873133896
2,electric,2020,sim_config,random_greedy,Fiat 500e 2020,60,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,60,5270400.0,2166720.0,3755,7255,18479,0,29489,11010,18479,0.373359557801214,0.626640442198786,0.12733561667062293,0.24602394113059106,0.626640442198786,0.0,0.3410535876475931,0.6589464123524069,1.0,0.0,417,65773474.67922964,19223119.221478,33034.943980287484,inf,-inf,NA,0,417,0,0,0,0.0,61.84424643098177,62.09725095779295,5.258120387122704,5.202793696886867,6.95,6.95,0,174653176.19028413,52182532.62708,15767.640288174187,12428.908063732371,28196.548351906553,6225.797929847598,0.0,6225.797929847598,15767.640288174185,12428.908063732371,28196.548351906556,6225.797929847598,0.0,6225.797929847598,12629.58452023777,341962.69115319755,1.0,1.0,1.0000000000000002,0,0,0,18929.233393641734,30.286773429826784,35.84390362299217,29.968091694068363,0.0,33034.943980287484,64.97486056492448,1376.4559991786452,41883.47752455863,37.3359557801214,62.6640442198786,12.733561667062293,24.602394113059106,62.6640442198786,0.0,34.10535876475931,65.8946412352407,100.0,0.0,0.0,100.0,100.0,100.00000000000003,0,0,0,20000.0,16843.133333333335,36843.13333333333,211.0565865407256,1136.72721666219,83300.18329307133,2195.1,3542.8838032029153,42914.16615653508
3,electric,2020,sim_config,random_greedy,Fiat 500e 2020,80,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,80,5270400.0,2166720.0,5011,8642,15836,0,29489,13653,15836,0.4629861982434128,0.5370138017565872,0.16992776967682865,0.29305842856658415,0.5370138017565872,0.0,0.36702556214751336,0.6329744378524866,1.0,0.0,514,81656387.13858804,23870225.07258,44496.07171643111,inf,-inf,NA,0,514,0,0,0,0.0,61.87170089258881,62.13465354325254,5.2505876804381995,5.207930496598913,6.425,6.425,0,174653176.19028413,52182532.62708,19580.626657560322,15434.510434615264,35015.13709217559,7731.3423366962,0.0,7731.3423366962,19580.626657560322,15434.510434615266,35015.13709217559,7731.3423366962,0.0,7731.3423366962,15545.09991021255,460603.06440889096,1.0,1.0,1.0,0,0,0,18902.115649577518,30.24338503932403,35.25934255739021,29.997679660409744,0.0,44496.07171643111,87.51720775392191,1854.0029881846297,41883.47752455863,46.29861982434128,53.70138017565872,16.992776967682865,29.305842856658415,53.70138017565872,0.0,36.70255621475134,63.29744378524866,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,26666.666666666668,16843.133333333335,43509.8,284.2804581883099,1411.6146001658547,103437.64198118,2706.53,4402.425058354165,55525.41692282583
4,electric,2020,sim_config,random_greedy,Fiat 500e 2020,100,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,100,5270400.0,2166720.0,6201,9659,13629,0,29489,15860,13629,0.5378276645528841,0.4621723354471159,0.2102817999932178,0.32754586455966633,0.4621723354471159,0.0,0.3909836065573771,0.6090163934426229,1.0,0.0,599,95327055.7261864,27855638.061408,48248.18631778348,inf,-inf,NA,0,599,0,0,0,0.0,61.937183631876216,62.056654658830396,5.260687197990753,5.205559655518427,5.99,5.99,0,174653176.19028413,52182532.62708,22860.036996998293,18019.519279768694,40879.55627676698,9026.206103832397,0.0,9026.206103832397,22860.036996998293,18019.519279768694,40879.55627676699,9026.206103832397,0.0,9026.206103832397,18150.633397995618,499443.2455019578,1.0,1.0,1.0000000000000002,0,0,0,18938.47391276671,30.30155826042674,35.50196663367416,29.984023615786146,0.0,48248.18631778348,94.8970635572786,2010.3410965743121,41883.47752455863,53.78276645528841,46.21723354471159,21.02817999932178,32.75458645596663,46.21723354471159,0.0,39.09836065573771,60.90163934426229,100.0,0.0,0.0,100.0,100.0,100.00000000000003,0,0,0,33333.333333333336,16843.133333333335,50176.466666666674,308.2523014747278,1648.0352007955119,120707.76493276798,3153.6,5109.88750227024,65421.41076383107
5,electric,2020,sim_config,random_greedy,Fiat 500e 2020,120,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,120,5270400.0,2166720.0,7479,10542,11468,0,29489,18021,11468,0.611109227169453,0.38889077283054696,0.253619993896029,0.35748923327342397,0.38889077283054696,0.0,0.41501581488263695,0.584984185117363,1.0,0.0,668,106875303.50456823,31577908.49061,55381.85513403388,inf,-inf,NA,0,668,0,0,0,0.0,61.527712303957045,61.45883716374577,5.246380299041228,5.200592636352798,5.566666666666666,5.566666666666666,0,174653176.19028413,52182532.62708,25647.591365105924,20216.82060898853,45864.41197409446,10126.862251304148,0.0,10126.862251304148,25647.591365105927,20216.82060898853,45864.411974094466,10126.862251304146,0.0,10126.862251304146,20186.392549014956,573287.7353747503,1.0,0.9999999999999998,1.0,0,0,0,18886.96907654842,30.219150522477477,36.12856181751697,29.955413585392122,0.0,55381.85513403388,108.92793755932937,2307.577297251412,41883.47752455863,61.1109227169453,38.8890772830547,25.3619993896029,35.748923327342396,38.8890772830547,0.0,41.501581488263696,58.498418511736304,100.0,0.0,0.0,100.0,99.99999999999997,100.0,0,0,0,40000.0,16843.133333333335,56843.13333333333,353.8285189118831,1848.9967181970762,136837.60345931,3520.21,5723.035237108959,74271.4348888677
6,electric,2020,sim_config,random_greedy,Fiat 500e 2020,140,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,140,5270400.0,2166720.0,8669,10986,9834,0,29489,19655,9834,0.6665197192173353,0.3334802807826647,0.2939740242124182,0.3725456950049171,0.33348028078266473,0.0,0.44105825489697276,0.5589417451030272,1.0,0.0,725,116476100.97982974,34552825.873889,61054.88962681273,inf,-inf,NA,0,725,0,0,0,0.0,61.83513531598807,61.657282250820735,5.250272042752229,5.2077121723551825,5.178571428571429,5.178571428571429,0,174653176.19028413,52182532.62708,27935.641899515238,22020.385962941695,49956.02786245693,11030.291047253784,0.0,11030.291047253784,27935.641899515234,22020.38596294169,49956.02786245693,11030.291047253784,0.0,11030.291047253784,21925.136050533307,632012.4041168314,1.0,1.0000000000000002,1.0,0,0,0,18900.979353908024,30.241566966252837,36.9380940363212,29.996422112765853,0.0,61054.88962681273,120.08595936097873,2543.95373445053,41883.47752455863,66.65197192173353,33.348028078266466,29.397402421241818,37.254569500491705,33.34802807826647,0.0,44.105825489697274,55.89417451030272,100.0,0.0,0.0,100.0,100.00000000000003,100.0,0,0,0,46666.666666666664,16843.133333333335,63509.8,390.0729059490813,2013.9477995273755,149728.91212018568,3821.55,6225.570705476457,79993.54141470921
7,electric,2020,sim_config,random_greedy,Fiat 500e 2020,160,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,160,5270400.0,2166720.0,9612,11312,8565,0,29489,20924,8565,0.7095527145715351,0.2904472854284649,0.3259520499169182,0.38360066465461695,0.2904472854284649,0.0,0.4593767922003441,0.5406232077996559,1.0,0.0,776,124141765.05428946,36893596.492077,63435.913755432426,inf,-inf,NA,0,776,0,0,0,0.0,61.62436162641918,61.625113150903026,5.248626408835083,5.2014411698712175,4.85,4.85,0,174653176.19028413,52182532.62708,29795.765738953163,23486.636319050493,53282.40205800366,11764.754475971044,0.0,11764.754475971044,29795.765738953163,23486.636319050496,53282.40205800366,11764.754475971044,0.0,11764.754475971044,23460.100377154704,656659.681230707,1.0,1.0,1.0,0,0,0,18895.0550718063,30.232088114890082,35.81895592251917,29.960301138458224,0.0,63435.913755432426,124.76908250630936,2643.163073143018,41883.47752455863,70.95527145715351,29.04472854284649,32.595204991691816,38.36006646546169,29.04472854284649,0.0,45.93767922003441,54.06232077996559,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,53333.333333333336,16843.133333333335,70176.46666666667,405.285004548596,2148.0486133464933,159872.251465667,4089.24,6642.573617895089,83053.21118110525
8,electric,2020,sim_config,random_greedy,Fiat 500e 2020,180,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,180,5270400.0,2166720.0,10862,11351,7276,0,29489,22213,7276,0.7532639289226492,0.24673607107735085,0.36834073722404964,0.38492319169859945,0.24673607107735088,0.0,0.4889929320668077,0.5110070679331923,1.0,0.0,832,131979188.41496071,39096145.236603,73809.99528687034,inf,-inf,NA,0,832,0,0,0,0.0,61.60278024732373,61.40351549974018,5.256206618628703,5.204955257528482,4.622222222222222,4.622222222222222,0,174653176.19028413,52182532.62708,31662.4452944117,24958.05424558981,56620.4995400015,12501.806406359057,0.0,12501.806406359057,31662.445294411704,24958.054245589807,56620.4995400015,12501.806406359057,0.0,12501.806406359057,25189.42410258671,764047.4473746436,1.0,1.0000000000000002,1.0,0,0,0,18922.34382706333,30.275750123301332,35.94170920879075,29.980542283364063,0.0,73809.99528687034,145.1733702022884,3075.416470286264,41883.47752455863,75.32639289226492,24.673607107735084,36.834073722404966,38.49231916985995,24.673607107735087,0.0,48.899293206680774,51.100706793319226,100.0,0.0,0.0,100.0,100.00000000000003,100.0,0,0,0,60000.0,16843.133333333335,76843.13333333333,471.5638587772272,2282.622044544568,169416.629358613,4382.13,7136.315903321795,85437.18012195786
9,electric,2020,sim_config,random_greedy,Fiat 500e 2020,200,sim_config,True,True,single_phase_2,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,21.31273069411744,200,5270400.0,2166720.0,11833,11272,6384,0,29489,23105,6384,0.7835124961850182,0.21648750381498183,0.4012682695242294,0.3822442266607888,0.21648750381498186,0.0,0.5121402293875784,0.48785977061242153,1.0,0.0,861,137371427.0238731,40692805.083235,72570.3149757591,inf,-inf,NA,0,861,0,0,0,0.0,61.50026309922968,61.25757322014335,5.251052777061295,5.200544344532732,4.305,4.305,0,174653176.19028413,52182532.62708,32955.73303610427,25977.49368913829,58933.22672524255,13012.456573268666,0.0,13012.456573268666,32955.73303610427,25977.493689138293,58933.22672524256,13012.456573268666,0.0,13012.456573268666,26041.86110044671,751214.8415252079,1.0,1.0000000000000002,1.0,0,0,0,18903.789997420663,30.246063995873065,35.71129534727664,29.95513542450854,0.0,72570.3149757591,142.73510194284773,3023.7631239899624,41883.47752455863,78.35124961850181,21.648750381498182,40.12682695242294,38.22442266607888,21.648750381498186,0.0,51.21402293875784,48.78597706124215,100.0,0.0,0.0,100.0,100.00000000000003,100.0,0,0,0,66666.66666666667,16843.133333333335,83509.8,463.6436790117943,2375.858276985773,176335.48869401836,4536.05,7375.551955997567,85450.1367380208
