,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,1000
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,400
n_charging_zones,100
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,1000
sim_duration,5270400.0
tot_potential_charging_energy,2166720.0
n_same_zone_trips,23004
n_not_same_zone_trips,5631
n_no_close_vehicles,854
n_deaths,0
n_booking_reqs,29489
n_bookings,28635
n_unsatisfied,854
fraction_satisfied,0.9710400488317678
fraction_unsatisfied,0.028959951168232245
fraction_same_zone_trips,0.7800874902506019
fraction_not_same_zone_trips,0.19095255858116586
fraction_no_close_vehicles,0.02895995116823222
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.8033525405971713
fraction_not_same_zone_trips_satisfied,0.1966474594028287
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,841
tot_mobility_distance,169646970.75741622
tot_mobility_duration,50682079.60111201
cum_relo_ret_t,71588.27423089287
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,841
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,59.583812464439795
soc_med,58.167655903114174
charging_time_avg,5.2367873804047615
charging_time_med,5.198975598441335
n_charges_by_vehicle_avg,1.2742424242424242
n_charges_by_vehicle_system_avg,1.2742424242424242
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,40774.84238236254
tot_potential_tanktowheel_energy,32140.939165364834
tot_potential_mobility_energy,72915.78154772737
tot_potential_welltotank_co2_emissions,16099.804704726052
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,16099.804704726052
tot_welltotank_energy,40774.842382362534
tot_tanktowheel_energy,32140.939165364838
tot_mobility_energy,72915.78154772738
tot_welltotank_co2_emissions,16099.804704726052
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,16099.804704726052
tot_charging_energy,25367.835956661533
tot_charging_return_distance,741049.2030989127
fraction_charges_system,1.0
fraction_energy_system,1.0
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18852.434569457142
charging_energy_event_avg,30.16389531113143
charging_energy_event_max,36.476933671398115
charging_energy_event_med,29.94609944702209
cum_relo_out_t,0.0
cum_relo_t,71588.27423089287
cum_relo_khw,140.8035726959741
avg_hourly_relo_t,2982.844759620537
max_driving_distance,41883.47752455863
percentage_satisfied,97.10400488317677
percentage_unsatisfied,2.8959951168232245
percentage_same_zone_trips,78.00874902506018
percentage_not_same_zone_trips,19.095255858116587
percentage_no_close_vehicles,2.8959951168232223
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,80.33525405971713
percentage_not_same_zone_trips_satisfied,19.66474594028287
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.0
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,333333.3333333333
charging_infrastructure_cost,16843.133333333335
scenario_cost,350176.4666666667
relocation_cost,457.3695298084822
energy_cost,2939.556727832326
revenues,219622.34493815203
washing_cost,4491.35
sim_cost,7888.276257640809
profit,-138442.39798615544
